SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,STREET_ID,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,ALTERNATE_NAME,CFCC,SPEEDLIMIT,ONEWAY,F_ZLEV,T_ZLEV,FT_COST,TF_COST,FT_DIR,TF_DIR,SHIELD,HWY_NUM,MUN_L,MUN_R,NBHD_L,NBHD_R,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,MCD00_L,MCD00_R,Shape_Length,shape_wkt,coordinates,segment_length_m,traffic_weight
19852,,,825.0,803.0,332,,Beacon,ST,,,A35,25,FT,0,0,0.09925263,-1.0,,,S,2,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000786196210904,"MULTILINESTRING ((-71.102521999999965 42.347292000000039, -71.101763000999938 42.347497000000033))","[(-71.10252199999996, 42.34729200000004), (-71.10176300099994, 42.34749700000003)]",87.26777941032043,0.17647058823529413
20192,,,,,332,,Beacon,ST,,,A35,25,FT,0,1,0.09626249,-1.0,,,S,2,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000762022759789,"MULTILINESTRING ((-71.101763000999938 42.347497000000033, -71.101259999999968 42.347638000000074, -71.101027999999985 42.347698000000037))","[(-71.10176300099994, 42.34749700000003), (-71.10125999999997, 42.347638000000074), (-71.10102799999999, 42.34769800000004)]",84.58452633655317,0.171875
21055,,,,,2878,,Mountfort,ST,,,A41,20,,0,0,0.02052934,0.02052934,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000119509930197,"MULTILINESTRING ((-71.101763000999938 42.347497000000033, -71.101862499999982 42.347563201000071))","[(-71.10176300099994, 42.34749700000003), (-71.10186249999998, 42.34756320100007)]",13.265602251890272,0.0
22276,,,,,332,,Beacon,ST,,,A35,25,FT,1,0,0.07579949,-1.0,,,S,2,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000599056510996,"MULTILINESTRING ((-71.101285999999959 42.34772600000008, -71.101449999999943 42.34767800000003, -71.101862499999982 42.347563201000071))","[(-71.10128599999996, 42.34772600000008), (-71.10144999999994, 42.34767800000003), (-71.10186249999998, 42.34756320100007)]",66.49527272051282,0.16363636363636364
24876,,,808.0,822.0,332,,Beacon,ST,,,A35,25,FT,0,0,0.09125546,-1.0,,,S,2,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000722267313679,"MULTILINESTRING ((-71.101862499999982 42.347563201000071, -71.102558999999985 42.347372000000064))","[(-71.10186249999998, 42.34756320100007), (-71.10255899999999, 42.347372000000064)]",80.1716718183423,0.171875
24878,2.0,46.0,1.0,47.0,2878,,Mountfort,ST,,,A41,20,,0,0,0.30759154,0.30759154,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001953424144123,"MULTILINESTRING ((-71.101862499999982 42.347563201000071, -71.102092167999956 42.347704462000081, -71.102111366999964 42.347715248000043, -71.10213059199998 42.34772186500004, -71.10227230199996 42.347753772000033, -71.102912076999985 42.347866623000073, -71.103750255999955 42.34798522400007))","[(-71.10186249999998, 42.34756320100007), (-71.10209216799996, 42.34770446200008), (-71.10211136699996, 42.34771524800004), (-71.10213059199998, 42.34772186500004), (-71.10227230199996, 42.34775377200003), (-71.10291207699998, 42.34786662300007), (-71.10375025599996, 42.34798522400007)]",216.83007999761415,0.0
16592,,,249.0,249.0,2139,,Huntington,AVE,,,A60,20,FT,0,0,0.04530981,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000254275064463,"MULTILINESTRING ((-71.08503428399996 42.342834836000065, -71.085106584999949 42.342770386000041, -71.085227384999939 42.342669451000063))","[(-71.08503428399996, 42.342834836000065), (-71.08510658499995, 42.34277038600004), (-71.08522738499994, 42.34266945100006)]",28.22453215540441,0.2
24655,,,,,2139,,Huntington,AVE,,,A60,20,FT,0,0,0.04567149,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.0002594371905,"MULTILINESTRING ((-71.084839685999953 42.342691315000025, -71.084635999999989 42.34285200000005))","[(-71.08483968599995, 42.342691315000025), (-71.08463599999999, 42.34285200000005)]",28.797528145468895,0.18181818181818182
24656,,,244.0,242.0,2139,,Huntington,AVE,,,A60,20,FT,0,0,0.03771455,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000211843375677,"MULTILINESTRING ((-71.085000999999977 42.342554000000064, -71.084839685999953 42.342691315000025))","[(-71.08500099999998, 42.342554000000064), (-71.08483968599995, 42.342691315000025)]",23.51461470012694,0.15
13960,,,247.0,247.0,2139,,Huntington,AVE,,,A60,20,FT,0,0,0.03932564,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000222676477476,"MULTILINESTRING ((-71.084860928999944 42.342974596000033, -71.08503428399996 42.342834836000065))","[(-71.08486092899994, 42.34297459600003), (-71.08503428399996, 42.342834836000065)]",24.717088999883025,0.3
